id	order_timestamp	customer_id	order_status	order_amount	order_currency	products
1	2022-11-13 03:35:04	4	NEW	51.22	EUR	[{'product_id': 11, 'amount': 3}]
2	2022-11-11 22:22:14	11	NEW	7.96	EUR	[{'product_id': 12, 'amount': 2}, {'product_id': 10, 'amount': 2}]
3	2022-11-13 07:07:24	10	NEW	74.6	EUR	[{'product_id': 25, 'amount': 2}, {'product_id': 12, 'amount': 1}, {'product_id': 14, 'amount': 2}]
4	2022-11-08 00:32:14	11	NEW	47.57	EUR	[{'product_id': 11, 'amount': 2}]
5	2022-11-13 01:34:53	8	NEW	49.69	EUR	[{'product_id': 17, 'amount': 1}]
6	2022-11-12 18:59:22	5	DELIVERED	64.75	EUR	[{'product_id': 26, 'amount': 2}, {'product_id': 28, 'amount': 1}]
7	2022-11-07 14:51:36	7	NEW	98.18	EUR	[{'product_id': 10, 'amount': 1}, {'product_id': 28, 'amount': 2}, {'product_id': 25, 'amount': 1}]
8	2022-11-06 18:54:36	9	DELIVERED	61.57	EUR	[{'product_id': 25, 'amount': 2}]
9	2022-11-10 15:45:19	11	NEW	55.38	EUR	[{'product_id': 10, 'amount': 3}, {'product_id': 11, 'amount': 1}, {'product_id': 19, 'amount': 1}]
10	2022-11-10 20:51:29	11	DELIVERED	78.12	EUR	[{'product_id': 25, 'amount': 1}, {'product_id': 28, 'amount': 3}]
11	2022-11-10 18:36:32	1	NEW	31.37	EUR	[{'product_id': 10, 'amount': 2}]
12	2022-11-06 20:14:07	11	DELIVERED	30.61	EUR	[{'product_id': 13, 'amount': 1}, {'product_id': 20, 'amount': 1}, {'product_id': 21, 'amount': 1}]
13	2022-11-11 22:06:29	10	NEW	3.27	EUR	[{'product_id': 27, 'amount': 3}, {'product_id': 12, 'amount': 2}, {'product_id': 16, 'amount': 1}]
14	2022-11-14 05:18:44	11	DELIVERED	72.8	EUR	[{'product_id': 15, 'amount': 2}, {'product_id': 16, 'amount': 2}]
15	2022-11-07 02:10:32	8	NEW	49.69	EUR	[{'product_id': 23, 'amount': 3}, {'product_id': 15, 'amount': 3}]
16	2022-11-08 14:58:40	5	DELIVERED	43.85	EUR	[{'product_id': 11, 'amount': 3}, {'product_id': 12, 'amount': 1}, {'product_id': 15, 'amount': 1}]
17	2022-11-07 18:36:18	8	DELIVERED	27.97	EUR	[{'product_id': 11, 'amount': 2}, {'product_id': 28, 'amount': 2}]
18	2022-11-15 03:08:11	6	DELIVERED	20.08	EUR	[{'product_id': 24, 'amount': 1}]
19	2022-11-14 05:51:39	5	NEW	77.73	EUR	[{'product_id': 22, 'amount': 2}, {'product_id': 13, 'amount': 1}]
20	2022-11-11 19:13:41	8	DELIVERED	70.16	EUR	[{'product_id': 15, 'amount': 1}, {'product_id': 17, 'amount': 2}]
21	2022-11-11 20:51:17	5	DELIVERED	87.83	EUR	[{'product_id': 25, 'amount': 2}, {'product_id': 12, 'amount': 1}, {'product_id': 16, 'amount': 1}, {'product_id': 29, 'amount': 3}]
22	2022-11-15 07:10:26	11	DELIVERED	78.56	EUR	[{'product_id': 20, 'amount': 3}, {'product_id': 19, 'amount': 1}]
23	2022-11-10 22:08:56	2	NEW	75.6	EUR	[{'product_id': 21, 'amount': 3}]
24	2022-11-06 22:22:14	4	DELIVERED	91.9	EUR	[{'product_id': 11, 'amount': 2}]
25	2022-11-07 16:39:49	8	DELIVERED	37.12	EUR	[{'product_id': 16, 'amount': 1}]
26	2022-11-11 13:30:31	10	DELIVERED	12.5	EUR	[{'product_id': 22, 'amount': 2}, {'product_id': 25, 'amount': 2}]
27	2022-11-13 07:10:31	10	NEW	63.35	EUR	[{'product_id': 10, 'amount': 2}, {'product_id': 16, 'amount': 2}]
28	2022-11-10 06:13:04	11	DELIVERED	48.72	EUR	[{'product_id': 24, 'amount': 3}, {'product_id': 16, 'amount': 2}, {'product_id': 12, 'amount': 3}]
29	2022-11-07 07:52:42	5	DELIVERED	79.53	EUR	[{'product_id': 13, 'amount': 2}, {'product_id': 20, 'amount': 2}, {'product_id': 24, 'amount': 1}]
